1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
Genre;Reseller;Project;Product;Title;GenreName;Run;RunNumber;Season;CapitalizationDate;NumberOfAmortizations;AmortizationFrequency;CumulativeCostInLocalCurrency;CumulativeLocalCurrency;CumulativeCostInContractCurrency;CumulativeContractCurrency;TotalCostInLocalCurrency;TotalLocalCurrency;TotalCostInContractCurrency;TotalContractCurrency;AmortizationType;ContractID;Creditor;ProductionNumber;Profit_Center;WBS_Nr;Asset_Nr;MinimumExploitationStartDate;MaximumExploitationEndDate
T1-INC01 International Scripted;OTTOTH (OTT Other SE);;200108752;Le Monstre I;Relationship 6.2.2.1;Run;1;1;25.5.2023;30;Monthly;1;SEK;1;EUR;1;SEK;1;EUR;Straight line;B202109213;GSN INTERNATIONAL LIMITED;2002200723;370134;T1-09327-00003;;1.5.2023;31.10.2025
T1-INC03 International Movies;OTTOTH (OTT Other SE);;200128824;Dog's Journey, A;Adventure 7.2.5;Run;1;;25.12.2023;12;Monthly;1;SEK;1;EUR;1;SEK;1;EUR;Straight line;B202310196;NORDISK FILM DISTRIBUTION A/S;2002300630;370134;T1-10635-00003;;1.12.2023;30.11.2024
T1-INC03 International Movies;OTTOTH (OTT Other SE);;500613325;Alone in Berlin;War 7.2.7;Run;1;;25.11.2022;18;Monthly;1;SEK;1;USD;1;SEK;1;USD;Straight line;B202107189;SF;2001700147;370134;T1-01168-00009;;1.11.2022;30.4.2024
T1-INC01 International Scripted;OTTOTH (OTT Other SE);;200109229;Highway of Love I;Crime/Police;Run;1;1;25.9.2023;30;Monthly;1;SEK;1;EUR;1;SEK;1;EUR;Straight line;B202109213;GSN INTERNATIONAL LIMITED;2002200740;370134;T1-09338-00003;;1.9.2023;28.2.2026
T1-INC02 International Non-scripted;OTTOTH (OTT Other SE);;200121140;King on Screen;Documentary and biography;Run;1;;25.10.2023;6;Monthly;1;SEK;1;USD;1;SEK;1;USD;Straight line;B202109204;NONSTOP ENTERTAINMENT;2002300361;370134;T1-10274-00003;;1.10.2023;31.3.2024
T1-INC01 International Scripted;OTTOTH (OTT Other SE);;200092397;Bump III;Relationship 6.2.2.1;Run;1;3;25.3.2023;24;Monthly;1;SEK;1;GBP;1;SEK;1;GBP;Straight line;B202112302;ITV;2002100910;370134;T1-09896-00003;;1.3.2023;28.2.2025
T1-DOS01 Domestic scripted series;OTTOTH (OTT Other SE);;200092761;Estonia;True stories, docudrama, historic;Run;1;1;25.10.2023;13;Monthly;1;SEK;1;EUR;1;SEK;1;EUR;Straight line;B202112308;FISHER KING OY;3142100934;370134;T1-07854-00003;;15.10.2023;14.10.2030
T1-DOS02 Domestic scripted movies;OTTOTH (OTT Other SE);;500235323;Beck - Mannen med Ikonerna;Thriller 7.2.3;Run;1;;25.1.2022;60;Monthly;1;SEK;1;EUR;1;SEK;1;EUR;Straight line;C202001001;Nordisk Film TV Distribution A;2000002660;370134;T1-03622-00004;;1.1.2022;31.12.2027
T1-DOS02 Domestic scripted movies;OTTOTH (OTT Other SE);;200076655;Beck - 58 minuter;Crime/Police;Run;1;;25.12.2022;49;Monthly;1;SEK;1;SEK;1;SEK;1;SEK;Straight line;B202103035;NORDISK FILM PRODUCTION SVERIGE AB;3142100211;370134;T1-06352-00007;;18.2.2022;31.12.2028
T1-DOS01 Domestic scripted series;OTTOTH (OTT Other SE);;500673736;Tunn is I;Thrillers, Action 6.1.2.3;Run;1;1;25.9.2020;55;Monthly;1;SEK;1;SEK;1;SEK;1;SEK;Straight line;C201811054;YELLOW BIRD FILMS AB;3141800547;370134;T1-02216-00010;;3.2.2020;2.2.2025
