WBS_ELEMENT|CONTRACT_NUMBER|PRODUCTION_NUMBER|RESELLER_CODE|STATUS
T10587200007|V201910000132|KO19000525|TVM0020|ERROR - MATCH NOT FOUND
T10921100003|V202208000147|KO22000809|TVM0020|ERROR - MATCH NOT FOUND
T10833400008|V202006000109|U420001084||ERROR - ONE OR MORE KEYS ARE MISSING
T109507 0003|V202109000167|KO21000564|TVM0020|ERROR - MATCH NOT FOUND
T10801700003|V202111000189|KO21001201|TVM0020|ERROR - MATCH NOT FOUND
T10756000005|V202106000097|F221001160|TVM0030|ERROR - MATCH NOT FOUND
T11029100003|V202211000194|KO22001075|TVM0020|ERROR - MATCH NOT FOUND
T10796800007|V202112000220|F221001144|TVM0034|ERROR - MATCH NOT FOUND
T10967500005|V202212000211|KO17000154|TVM0020|ERROR - MATCH NOT FOUND
T10699500004|V202106000124|KO21000440|TVM0020|ERROR - MATCH NOT FOUND
T11011500004|W202304000048|KO23000338|TVM0034|ERROR - MATCH NOT FOUND
T10936000005|V202209000156|F222000868|TVM0020|ERROR - MATCH NOT FOUND
T10793900007|V202112000207|F221001157|TVM0034|ERROR - MATCH NOT FOUND
T10879700005|V202202000023|F222000003|TVM0031|ERROR - MATCH NOT FOUND
T10891700007|V202002000019|KO20001181|TVM0034|ERROR - MATCH NOT FOUND
T10892300004|V202102000019|KO21000064|TVM0030|ERROR - MATCH NOT FOUND
T10891700004|V202002000019|KO20001181|TVM0030|ERROR - MATCH NOT FOUND
T10817800003|V202202000030|KO22001232|TVM0020|ERROR - MATCH NOT FOUND
T10621700004|V202101000003|F221000664|TVM0020|ERROR - MATCH NOT FOUND
T10580100010|V202006000109|U420001076|TVM0020|ERROR - MATCH NOT FOUND
T109503 0004|V201807000117|KO19000571|TVM0030|ERROR - MATCH NOT FOUND
T10697200005|V202106000105|KO21000470|TVM0020|ERROR - MATCH NOT FOUND
T10985800003|V201906000077|U419000484|TVM0020|ERROR - MATCH NOT FOUND
T10891900007|V202006000091|KO20000209|TVM0034|ERROR - MATCH NOT FOUND
T10879400004|V202201000012|F222000125|TVM0030|ERROR - MATCH NOT FOUND
T10891900003|V202006000091|KO20000209|TVM0020|ERROR - MATCH NOT FOUND
T10841700007|V202112000214|F221001001|TVM0034|ERROR - MATCH NOT FOUND
T10714100006|W202303000040|KO22001006|TVM0034|ERROR - MATCH NOT FOUND
T10817500003|V202202000027|F222000420|TVM0020|ERROR - MATCH NOT FOUND
T11011400005|W202304000047|KO23000172|TVM0020|ERROR - MATCH NOT FOUND
T10704200004|V202107000137|U421000544|TVM0021|ERROR - MATCH NOT FOUND
T10826100008|V202101000013|U421000416||ERROR - ONE OR MORE KEYS ARE MISSING
T10878900003|V202204000063|F211001364|TVM0020|ERROR - MATCH NOT FOUND
T10756000007|V202106000097|F221001160|TVM0034|ERROR - MATCH NOT FOUND
T10892300007|V202102000019|KO21000064|TVM0034|ERROR - MATCH NOT FOUND
T10588000008|V202012000158|F220001007|TVM0031|ERROR - MATCH NOT FOUND
T10817700007|V202202000027|F222000353|TVM0034|ERROR - MATCH NOT FOUND
T10652800008|V202103000048|F221000690|TVM0020|ERROR - MATCH NOT FOUND
T10831600007|V202104000064|F221000011|TVM0034|ERROR - MATCH NOT FOUND
T10464000006|V201711000161|KO17000672|TVM0020|ERROR - MATCH NOT FOUND
T10817000004|V202202000030|KO22001232|TVM0030|ERROR - MATCH NOT FOUND
T10768600003|V202112000212|KO21001173|TVM0020|ERROR - MATCH NOT FOUND
T10981700004|V202212000229|KO22001147|TVM0030|ERROR - MATCH NOT FOUND
T10892100004|V202009000130|KO20001204|TVM0030|ERROR - MATCH NOT FOUND
T10892700008|V202102000035|F221001177|TVM0030|ERROR - MATCH NOT FOUND
T109513 0003|V202002000023|F220001004|TVM0031|ERROR - MATCH NOT FOUND
T10554400012|V202001000012|KO20000910|TVM0030|ERROR - MATCH NOT FOUND
T10715600010|V202104000075|F221000100|TVM0020|ERROR - MATCH NOT FOUND
T10909700004|V202206000133|KO22000118|TVM0030|ERROR - MATCH NOT FOUND
T10816700007|V202202000027|F222000420|TVM0034|ERROR - MATCH NOT FOUND
T10580200013|V202006000109|U420001085|TVM0020|ERROR - MATCH NOT FOUND
T109503 0005|V201807000117|KO19000571|TVM0020|ERROR - MATCH NOT FOUND
T10696600005|V202104000069|KO21000502|TVM0020|ERROR - MATCH NOT FOUND
T10862600003|V202205000069|KO22000631|TVM0020|ERROR - MATCH NOT FOUND
T10936000004|V202209000156|F222000868|TVM0031|ERROR - MATCH NOT FOUND
T10824900003|V202012000171|F220001414|TVM0020|ERROR - MATCH NOT FOUND
T10689500006|V202104000056|F221000286|TVM0034|ERROR - MATCH NOT FOUND
T10817300003|V202202000026|F222000204|TVM0020|ERROR - MATCH NOT FOUND
T10936300003|V202209000155|F222000442|TVM0034|ERROR - MATCH NOT FOUND
T10715500007|V202104000075|F218000364|TVM0020|ERROR - MATCH NOT FOUND
T11011000004|W202303000044|F210018731|TVM0030|ERROR - MATCH NOT FOUND
